id,headline,text,category,label
1,Scientists Report Discovery of Heat‑Resistant Coral in Arctic Waters,"Marine biologists announced the detection of coral colonies thriving in unusually cold Arctic regions, claiming the species evolved a unique protein that prevents freezing. Follow‑up expeditions later revealed the formations were mineral deposits shaped by shifting currents, not living organisms.",environment,fake
2,New Study Finds That Blueberries Improve Night Vision Significantly,"Researchers at a small nutrition lab reported that concentrated blueberry extract could enhance night vision by up to 40 percent. Independent labs attempted replication but found no measurable improvement, suggesting the original results were influenced by faulty equipment.",health,real
3,Consumer Group Warns of Self‑Heating Shoes Malfunctioning in Winter,"A consumer safety organization issued a notice about a batch of self‑heating winter shoes that allegedly overheated during cold snaps. After testing, regulators confirmed that only a limited early production run had wiring defects, and most units on the market were safe.",consumer,real
4,Celebrity Claims She Adopted a Cat That Can Mimic Human Speech,A well‑known actress posted a video claiming her newly adopted cat could imitate short human phrases. Linguistic experts reviewed the clip and determined the sounds were typical feline vocalizations edited with audio filters.,celebrity,fake
5,Breakthrough Device Promises to Turn Air Humidity Into Drinkable Soda,A startup unveiled a prototype machine that supposedly converts atmospheric moisture into carbonated flavored beverages. Engineers who examined the device found it was pre‑filled with liquid reservoirs and did not extract water from the air at all.,technology,fake
6,Doctors Identify Rare Condition Where Patients Temporarily Lose Sense of Time,Neurologists documented several cases of patients experiencing brief episodes of temporal disorientation following migraines. The condition was verified through clinical observation and resolved naturally within hours.,health,real
7,Environmentalists Celebrate Discovery of Plastic‑Eating Fern,A viral post claimed a newly discovered fern species could break down plastic waste within days. Botanists later confirmed the plant had no such properties and that the claim originated from a misinterpreted student project.,environment,fake
8,Tech Firm Releases Glasses That Automatically Translate Bird Songs,"A tech company announced augmented‑reality glasses that could identify bird species and display translations of their calls. Early reviewers confirmed the glasses could identify species but did not translate vocalizations, instead showing behavioral summaries.",technology,real
9,Celebrity Chef Reveals Secret Ingredient: Glow‑in‑the‑Dark Sea Salt,"A celebrity chef claimed to use a rare luminescent sea salt harvested from deep‑ocean vents. Food scientists determined the glow in promotional photos came from added edible phosphorescent powder, not naturally glowing salt.",celebrity,fake
10,Study Suggests That Listening to Ocean Sounds Improves Memory Retention,A university research team found that participants exposed to ocean soundscapes during study sessions showed modest improvements in short‑term recall. The effect was attributed to reduced stress and improved focus.,health,real
11,New Consumer Trend: Refrigerators That Recommend Recipes Based on Mood,"A home appliance company advertised refrigerators capable of detecting a user's emotional state and suggesting meals accordingly. Analysts discovered the feature relied solely on time‑of‑day patterns and previous selections, not mood detection.",consumer,fake
12,Scientists Detect Micro‑Organisms That Glow Brighter During Solar Storms,Researchers studying bioluminescent plankton observed increased brightness during periods of heightened solar activity. The correlation was confirmed through satellite data and controlled laboratory experiments.,science,real
13,Celebrity Reportedly Purchases Island Shaped Like Her Own Face,Tabloids circulated a story claiming a singer bought a private island sculpted to resemble her profile. Satellite imagery and property records showed no such purchase occurred.,celebrity,fake
14,Tech Startup Claims Its Smartwatch Can Predict Dreams,A startup promoted a smartwatch that allegedly forecasted dream themes based on biometric data. Independent reviewers found the predictions were generic prompts triggered by sleep‑cycle patterns.,technology,fake
15,Environmental Study Finds Forests Recover Faster After Controlled Burns,Ecologists published findings showing that carefully managed burns helped certain forest ecosystems regenerate more quickly by reducing invasive undergrowth. The results were consistent with long‑term field observations.,environment,real
16,Health Experts Warn of New Trend: Oxygen‑Infused Candy,A viral trend suggested that oxygen‑infused candy could boost energy levels. Nutritionists confirmed the candy contained no meaningful oxygen content and offered no physiological benefits.,health,fake
17,Scientists Announce Discovery of Metal That Repairs Itself When Scratched,Materials scientists reported a new alloy capable of slowly re‑bonding surface scratches under heat exposure. Peer review confirmed the effect but noted it was limited to microscopic abrasions.,science,real
18,Consumer Alert: Smart Toasters Spying on Breakfast Habits,"A rumor spread online claiming smart toasters were transmitting user data to advertisers. Investigations found no evidence of such behavior, and the devices lacked the hardware required for data transmission.",consumer,fake
19,Celebrity Says She Trains With a Personal Gravity Machine,"A model claimed she used a home device that increased gravitational force to intensify workouts. Physicists dismissed the claim, noting such a machine would require industrial‑scale equipment.",celebrity,fake
20,Tech Researchers Develop Battery That Charges Fully in 30 Seconds,"A research team demonstrated a prototype battery using novel electrode materials that allowed extremely rapid charging. While promising, the technology remains experimental and not yet commercially viable.",technology,real
21,Scientists Warn of Jellyfish That Can Camouflage as Plastic Bags,A report suggested a jellyfish species evolved to mimic floating plastic debris. Marine biologists clarified that the resemblance was coincidental and not an adaptive camouflage strategy.,environment,fake
22,Health Study Finds That Mild Dehydration Reduces Decision‑Making Accuracy,A controlled study showed participants with slight dehydration performed worse on complex reasoning tasks. The findings were replicated across multiple trials.,health,real
23,Consumer Group Claims New Laundry Pods Dissolve Clothing Fibers,A consumer watchdog warned that a new brand of laundry pods was dissolving fabric. Laboratory tests showed the pods were safe and the reported damage came from improper washing temperatures.,consumer,fake
24,Celebrity Allegedly Owns the World's First Transparent Car,Rumors circulated that an actor purchased a fully transparent vehicle made of reinforced glass. Automotive experts confirmed no such model exists.,celebrity,fake
25,Scientists Discover Fungus That Converts CO₂ Into Edible Gel,Biochemists identified a fungus capable of converting carbon dioxide into a nutrient‑rich gel under controlled conditions. The discovery may have applications in sustainable food production.,science,real
26,Tech Company Claims Its Headphones Can Read Emotions Through Ear Shape,"A tech firm advertised headphones that detected emotional states by analyzing subtle ear movements. Independent testing showed the sensors only measured temperature and pulse, not emotions.",technology,fake
27,Environmental Report Shows Urban Bees Thriving in Rooftop Gardens,"Researchers found that rooftop gardens in major cities provided stable habitats for bee populations, helping offset declines in rural areas.",environment,real
28,Health Trend Suggests Drinking Hot Pepper Tea Cures Insomnia,A viral wellness trend claimed that hot pepper tea could treat insomnia. Medical experts found no evidence supporting the claim and warned it could cause digestive irritation.,health,fake
29,Consumer Reviewers Praise New Self‑Cleaning Kitchen Countertops,A home goods manufacturer released countertops coated with a photocatalytic layer that breaks down surface grime under UV light. Early reviews confirmed the feature worked under strong lighting conditions.,consumer,real
30,Celebrity Says She Communicates With Her Plants Through Vibrations,"A singer claimed she could send emotional messages to her plants using vocal vibrations. Botanists explained that while plants respond to sound, the claim of emotional communication was unfounded.",celebrity,fake
31,Scientists Develop Fabric That Changes Color Based on Air Quality,Engineers created a textile embedded with reactive dyes that shift color when exposed to pollutants. Field tests confirmed the fabric reliably indicated air quality levels.,science,real
32,Tech Startup Claims Its Drone Can Smell Forest Fires,"A startup promoted a drone equipped with sensors that allegedly detected forest fires by scent. Investigators found the device relied on heat signatures, not chemical detection.",technology,fake
33,Environmental Study Finds Rivers Recover Faster After Reintroducing Beavers,Ecologists observed that reintroducing beavers to degraded river systems improved water flow and biodiversity. The findings were supported by long‑term monitoring.,environment,real
34,Health Experts Warn of New Fad: Magnetic Detox Socks,A wellness trend claimed magnetic socks could remove toxins from the body. Medical professionals confirmed the claims were baseless and purely marketing.,health,fake
35,Consumer Report Shows New Vacuum Cleaner Can Detect Lost Jewelry,A vacuum model advertised a sensor that alerts users when valuable metal objects are collected. Reviewers confirmed the feature worked for larger items but struggled with small pieces.,consumer,real
36,Celebrity Allegedly Uses a Crystal Helmet to Boost Creativity,Tabloids reported that an actor wore a crystal‑embedded helmet to enhance creative thinking. Neuroscientists dismissed the claim as pseudoscience.,celebrity,fake
37,Scientists Identify Microbe That Breaks Down Oil Spills Twice as Fast,Researchers discovered a marine microbe that accelerates the breakdown of oil in contaminated waters. Field trials showed promising results for environmental cleanup.,science,real
38,Tech Company Claims Its Smart Pen Can Write Essays Automatically,A company advertised a pen that could autonomously write essays using AI. Reviewers found the pen required constant user input and only offered predictive text suggestions.,technology,fake
39,Environmentalists Celebrate Return of Rare Butterfly Species,Conservationists reported the resurgence of a rare butterfly species following habitat restoration efforts. Surveys confirmed stable population growth.,environment,real
40,Health Trend Claims Coconut Vapor Therapy Boosts Lung Capacity,A viral trend suggested inhaling coconut vapor could improve lung function. Pulmonologists found no evidence supporting the claim and warned of potential respiratory irritation.,health,fake
41,Consumer Watchdog Warns of Coffee Makers That Randomly Overheat,"A watchdog group investigated reports of coffee makers overheating. Testing revealed a small batch with faulty thermostats, prompting a limited recall.",consumer,real
42,Celebrity Claims Her Dog Can Detect Valuable Art,A celebrity stated her dog could identify valuable paintings by barking. Art experts dismissed the claim as a publicity stunt.,celebrity,fake
43,Scientists Develop Plant‑Based Plastic That Decomposes in Weeks,Materials researchers created a biodegradable plastic alternative derived from algae. Early trials showed it decomposed significantly faster than conventional plastics.,science,real
44,Tech Firm Says Its Smart Mirror Can Predict Skin Aging by Decade,A company marketed a mirror that forecasted future skin aging. Dermatologists found the predictions were based on generic templates rather than personalized analysis.,technology,fake
45,Environmental Study Shows Urban Trees Reduce Noise Pollution,Researchers found that dense tree canopies in cities significantly reduced ambient noise levels. The findings were supported by acoustic measurements.,environment,real
46,Health Experts Warn of Trend: Vitamin‑Infused Hair Spray,A beauty trend claimed vitamin‑infused hair spray could improve overall health. Experts clarified that vitamins applied to hair do not enter the bloodstream.,health,fake
47,Consumer Reviewers Praise New Oven With Built‑In Smoke Neutralizer,A kitchen appliance manufacturer released an oven with a catalytic filter that reduced smoke during cooking. Reviewers confirmed the feature worked effectively.,consumer,real
48,Celebrity Claims She Can Absorb Energy From Moonlight,A public figure stated she practiced a ritual that allowed her to absorb lunar energy. Scientists confirmed no mechanism exists for such an effect.,celebrity,fake
49,Scientists Discover Bacteria That Produce Natural Blue Pigment,"Microbiologists identified a bacterial strain that generates a stable blue pigment, offering potential applications in sustainable dyes.",science,real
50,Tech Startup Says Its Phone Can Charge Through Sound Waves,A startup claimed its smartphone recharged using ambient sound. Engineers found the device contained a hidden backup battery and no sound‑based charging mechanism.,technology,fake
51,Scientists Discover Cloud Formations That Emit Natural Radio Signals,Meteorologists studying high‑altitude cloud systems detected faint radio emissions during rapid ice‑crystal collisions. Follow‑up analysis confirmed the signals were natural static discharges rather than a new atmospheric phenomenon.,science,real
52,Health Trend Claims Lemon Steam Can Reverse Hair Loss,A viral wellness post suggested inhaling lemon‑infused steam could stimulate dormant hair follicles. Dermatologists reviewed the claim and found no biological mechanism supporting the idea.,health,fake
53,Environmentalists Report Trees That Grow Faster When Exposed to Music,A conservation group shared footage of trees allegedly growing more rapidly when exposed to classical music. Botanists clarified that the time‑lapse videos exaggerated natural growth and no accelerated effect was observed in controlled trials.,environment,fake
54,Consumer Watchdog Confirms New Blender Model Reduces Food Waste,A consumer advocacy group tested a blender designed to minimize leftover pulp. Their findings showed the redesigned blade system produced smoother blends with significantly less residue.,consumer,real
55,Celebrity Claims She Drinks Electrically Charged Water for Energy,A popular influencer promoted a regimen involving electrically charged water to boost vitality. Chemists explained that the product contained no meaningful electrical properties and functioned like regular bottled water.,celebrity,fake
56,Scientists Develop Micro‑Robots That Clean Aquarium Water,Engineers created microscopic robots capable of binding to harmful particles in aquarium water. Early tests demonstrated improved clarity and reduced bacterial levels.,science,real
