pattern,fake_similarity,real_similarity,fake_signal
"these people are used to incite violence, among other things, to goad the media into giving Donald Trump s campaign negative coverage.",25.37,14.59,10.78
Social media proceeded to mercilessly mock the monumentally racist picture by comparing it to other images.,18.9,8.3,10.6
"The verbal gymnastics there are astounding, but of course these people are Donald Trump surrogates, so they are used to spinning faster than the head of the girl in The Exorcist.",20.45,9.96,10.49
"The day after PBS aired a controversial documentary about the Black Panthers that said there are still many members of the violent cop-killing movement in prison, Hollywood liberal Bette Midler turned to social media to call on President Barack Obama to pardon them.",24.25,13.77,10.48
"Trump s disgraceful response to the violence perpetuated by white supremacists, neo-Nazis, and other far-right hate groups in Charlottesville, Virginia.",25.48,15.58,9.91
"a racist, anti-gay Tennessee Republican",19.09,9.59,9.49
"racist, anti-gay Tennessee Republican",17.96,8.63,9.33
Trump's assault on the free press is an assault on the Constitution.,23.41,14.16,9.25
Karma s a bitch or is it the other way around? LA doesn't seem to like Hillary Clinton..her campaign rally today lasted less than a minute.,21.21,12.03,9.17
spin his embarrassingly terrible debate performance into something positive,22.39,13.38,9.02
... pro-Trump commentary.,25.08,16.22,8.86
liberal propaganda,17.0,8.43,8.57
"The NRA thought it had released a clever video bashing Clinton s record of approving arms exports when she served as Secretary of State, but instead they validated what gun control advocates have been asking for all along: better background checks.",24.8,16.36,8.44
They never use vulgarity or threats and their videos are always ... ,12.33,3.9,8.43
The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News.,22.56,14.17,8.38
This is literally white supremacy.,17.84,9.48,8.36
false propaganda campaign,22.59,14.34,8.25
"House Republicans posed for a selfie with Mike Pence and, of course, there wasn’t a single brown or black face in the crowd.",18.71,10.53,8.19
Celebrated Congressional Black Caucus member,16.39,8.2,8.19
Pardoning the Black Panthers will just be the tip of the iceberg for this radical President.,24.46,16.28,8.18
Our First Lady has taken time out from her self-appointed role as America’s Food Nazi to fulfill her new role as  First Propagandist  in Obama’s coordinated Race War on America,22.46,14.34,8.12
The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News.,20.32,12.43,7.89
"Black Lives Matter at terror group won t bode well for Hillary, who has openly supported them in an embarrassing effort to pander for votes.",21.54,13.7,7.84
NYDaily NewsThe Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News.,20.57,12.81,7.76
The Democrat also accuses Comey of suppressing negative information related to the Republican presidential candidate   Donald Trump.,25.64,17.92,7.72
"The wildly popular, hilarious and outspoken Diamond and Silk duo have been hitting it out of the park on YouTube with their videos that rely entirely on pro-Trump commentary.",21.09,13.55,7.54
"Trump used his enormous influence on social media, the truth is, Ed Gillespie didn't want Trump to campaign with him in a state that has been a blue state since 2004.",22.57,15.07,7.5
false sexual misconduct allegations,19.09,11.71,7.38
"Of course, Trump's ego will never let him admit that he lost to Hillary, so his surrogates are already being deployed all over the place to spin his embarrassingly terrible debate performance into something positive.",23.12,15.74,7.38
"the central focus of the video, which is a collection of various undercover videos with commentary, is the process of bird-dogging which refers to essentially hiring people to behave as the equivalent to crisis actors.",13.28,5.92,7.36
Ted Cruz has permanently messed up his relationship with New Yorkers,19.04,11.76,7.28
We recommend the entire video because you'll see Trump hired one smart cookie!,18.86,11.6,7.27
xenophobic serial liar,16.11,8.86,7.25
hypocrisy,15.6,8.41,7.19
idiocy of the narrative put forth by the Left,20.6,13.47,7.13
full-fledged assault on truth and reason,19.11,12.0,7.1
mischievous liberals,20.69,13.67,7.02
President Trump spoke of Abraham Lincoln and Ford s Theatre with heartfelt fondness.,13.07,6.08,7.0
They're President Trump's #1 fans and they've been with him from the start of his campaign.,19.68,12.76,6.92
The Daily Show with Trevor Noah,12.39,5.48,6.9
The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State 1. ,17.32,10.53,6.78
identity politics,16.98,10.24,6.74
"The protester was carrying a sign when suddenly he was attacked. Rally goers ganged up on him and were shoving him, punching him, and kicking him while they chanted  USA! USA!",18.09,11.58,6.51
"You guys really need a little more diversity in your party. Not one person of color, really?",14.44,7.93,6.51
racist view,17.48,11.01,6.47
reckless disregard for facts,18.31,11.84,6.47
fake eye witness,15.61,9.16,6.44
intimidation of journalists,17.45,11.06,6.39
Twitter is throwing a livid fit,17.61,11.28,6.33
"President Trump s son-in-law, and senior adviser did in fact list himself as a male in his New York voter registration   but an elections database error led to him getting listed as a female.",15.31,9.02,6.3
racist,12.81,6.54,6.27
outrageous,12.76,6.55,6.21
"threatened with lynching,",20.86,14.71,6.15
amazing citizen journalist,17.46,11.34,6.13
You guys really need a little more diversity in your party.,15.13,9.07,6.06
"Obama will no doubt spin this, but in the meantime, it’s a statement by over 100,000 American citizens about their belief that Black Lives Matter is nothing more than a terror organization.",24.93,18.9,6.03
liberal academia,14.65,8.72,5.93
"fake mayor,",18.22,12.3,5.91
Farenthold used taxpayer money to settle a sexual harassment claim brought by his former spokesman   the only known sitting member of Congress to have used a little-known congressional account to pay an accuser.,14.2,8.34,5.86
"fake police chief,",16.59,10.74,5.85
brilliant undercover video,12.88,7.03,5.85
outrageous.,14.92,9.09,5.83
chilling story of organized voter fraud,19.13,13.35,5.79
"The crooked Democrats house of cards is falling and its almost funny (almost) how they re blaming the Russians, Donald J. Trump and now James Comey for their inability to keep their crookedness hidden from the public.",24.77,19.01,5.75
Harvey Weinstein,17.22,11.49,5.73
moronic and slightly evil.,15.43,9.72,5.71
"Everyone is aware of each other, and in some cases, answer to those all the way at the top, either in the Clinton campaign or the DNC itself",22.98,17.27,5.7
"Logan said he loves politics, American history and Donald Trump.",19.41,13.71,5.7
"King told Fox: With Donald Trump, I ve had some real issues with him. On the other hand, in no way am I comparing him to Ted Cruz. Ted Cruz   anyone in New York who even thinks of voting for Ted Cruz is a nut! Host Trish Regan asked King,  Will you vote for him? King fortunately gave a more d... ",18.66,12.96,5.7
white supremacist Chief Strategist.,22.54,16.86,5.68
Obama and Hillary supporters,20.8,15.13,5.66
Hillary s over-the-top plan to tax the consumer for sugary drinks and soda makes former Mayor Michael Bloomberg look like a chump.,19.66,14.03,5.62
illegal act of aggression,13.47,7.93,5.54
Traditional Republicans are coming out against the inevitable presidential candidacy of the trainwreck that is Donald Trump.,22.24,16.79,5.45
Neo-Nazis,12.55,7.11,5.44
Hillary flunky who lost big.,19.96,14.53,5.43
"Democrats house of cards is falling and its almost funny (almost) how they re blaming the Russians, Donald J. Trump and now James Comey for their inability to keep their crookedness hidden from the public.",24.8,19.36,5.43
"We had a magnificent time with our man, the @POTUS, @realDonaldTrump and @FLOTUS Melania Trump at the White House Christmas Party.",19.76,14.36,5.4
"But conservatives, as usual, responded to President Obama by letting their racism fly.",21.76,16.44,5.32
Ted Cruz   anyone in New York who even thinks of voting for Ted Cruz is a nut!,16.17,10.99,5.18
"Trump s foreign policy speech reads like that of a defensive realist, while Hillary has a history of promoting war and aggression.",21.76,16.58,5.18
Trump's tantrum,22.88,17.77,5.11
Dump Trump,23.8,18.73,5.07
Poll: Sanders overtakes Clinton in Iowa,16.17,11.11,5.06
activist judge,13.41,8.36,5.05
"Look for prison doors to be flung open across America, in his final act of  screw you White America,  as he exits the White House, with a lifetime of Secret Service protection",24.39,19.42,4.97
"Trump, the business mogul accused President George W. Bush of lying about the Iraq War.",24.06,19.12,4.95
Sotomayor once again brings her racist view to the court clouding her decisions on ALL Americans:,20.52,15.62,4.9
Where was Harry s outrage then? Why wasn t he  reminding  Comey who put him in his powerful position several months ago?,14.8,9.97,4.83
NY refuses to perpetuate the myth voter fraud played a role in our election. We will not comply with this request.,18.56,13.8,4.76
validated what gun control advocates have been asking for all along: better background checks,17.04,12.32,4.72
