title,claim,verdict,url
"Depression isnt defined as having low serotonin, contrary to Gary Brecka claims in TikTok videos",On whether depression is defined as low serotonin,FALSE,https://science.feedback.org/review/tiktok-outdated-inaccurate-claims-depression-gary-brecka/
Magnetic poles reversals are not cataclysmic events as claimed in the òAdam and Eve theory discussed on Joe Rogan podcast,"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.",FALSE,https://science.feedback.org/review/magnetic-poles-reversals-not-cataclysmic-events-adam-and-eve-theory-jimmy-corsetti-joe-rogan-podcast/
"Omega-6 fatty acids in tilapia do not increase risk for Alzheimers, contrary to popular claim",Tilapia are chock full of Omega-6 fatty acids ì which increase your risk for Alzheimers!,FALSE,https://science.feedback.org/review/omega-6-fatty-acids-in-tilapia-do-not-increase-risk-for-alzheimers-contrary-to-popular-claim-life-is-beautiful/
Social media claims of urine therapy benefits not backed by scientific evidence,On Stem Cell Survival and Absorption,FALSE,https://science.feedback.org/review/social-media-claims-urine-therapy-benefits-not-backed-scientific-evidence/
Flawed analysis of Florida Medicaid data used to promote false claim that vaccines cause autism,New peer-reviewed study again confirms childhood vaccines are likely responsible for nearly 80% of the autism cases in USù,FALSE,https://science.feedback.org/review/flawed-analysis-florida-medicaid-data-promote-false-claim-vaccines-cause-autism/
"Benefits of COVID-19 mRNA vaccines outweigh their risks, even for teenagers, contrary to Alex Berensons claim","1 million mRNA covid shots or teens will prevent 0-1 deaths and CAUSE 100,000 - 200,000 severe side effectsù",FALSE,https://science.feedback.org/review/benefits-covid19-mrna-vaccines-outweigh-risks-even-teenagers-contrary-to-alex-berenson-claim/
"Face masks can filter small airborne particles, including respiratory droplets, and are effective at reducing the spread of COVID-19",Science debunks the use of face masks to stop viruses like COVID-19,FALSE,https://science.feedback.org/review/face-masks-can-filter-small-airborne-particles-including-respiratory-droplets-and-are-effective-at-reducing-the-spread-of-covid-19/
No evidence that red onion and Coca-Cola infusion cures the flu; drinking soda is linked to adverse health outcomes,Drinking an infusion of red onion and Coca-Cola can cure the flu,FALSE,https://science.feedback.org/review/no-evidence-red-onion-coca-cola-infusion-cures-flu-drinking-soda-linked-adverse-health-outcomes/
No evidence that eroding wind turbine blades harm farmland,Farmers have lost their crops and livelihood due to microplastics and fiberglass from eroding wind turbine blades.,FALSE,https://science.feedback.org/review/no-evidence-that-eroding-wind-turbine-blades-harm-farmland/
"COVID-19 vaccine candidates show high efficacy and a safe profile in clinical trials, contrary to claims in viral video",The COVID-19 pandemic is not a real medical pandemicù; The COVID-19 vaccine is not proven safe or effectiveù,FALSE,https://science.feedback.org/review/covid-19-vaccine-candidates-show-high-efficacy-and-a-safe-profile-in-clinical-trials-contrary-to-claims-in-viral-video/
