pattern,fake_similarity,real_similarity,fake_signal
"these people are used to incite violence, among other things, to goad the media into giving Donald Trump s campaign negative coverage.",25.37,14.59,10.78
Trump's assault on the free press is an assault on the Constitution.,23.41,14.16,9.25
... pro-Trump commentary.,25.08,16.22,8.86
They never use vulgarity or threats and their videos are always ... ,12.33,3.9,8.43
The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News.,22.56,14.17,8.38
This is literally white supremacy.,17.84,9.48,8.36
The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News.,20.32,12.43,7.89
NYDaily NewsThe Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News. The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State voter information.   NYDaily News.,20.57,12.81,7.76
"The wildly popular, hilarious and outspoken Diamond and Silk duo have been hitting it out of the park on YouTube with their videos that rely entirely on pro-Trump commentary.",21.09,13.55,7.54
"the central focus of the video, which is a collection of various undercover videos with commentary, is the process of bird-dogging which refers to essentially hiring people to behave as the equivalent to crisis actors.",13.28,5.92,7.36
President Trump spoke of Abraham Lincoln and Ford s Theatre with heartfelt fondness.,13.07,6.08,7.0
They're President Trump's #1 fans and they've been with him from the start of his campaign.,19.68,12.76,6.92
The Wired story that was written by Ashley Feinberg suggests one of the reasons Kushner   whose father-in-law has been waging a fact-challenged war on voter fraud   was registered as a woman on his publicly accessible New York State 1. ,17.32,10.53,6.78
"President Trump s son-in-law, and senior adviser did in fact list himself as a male in his New York voter registration   but an elections database error led to him getting listed as a female.",15.31,9.02,6.3
"Everyone is aware of each other, and in some cases, answer to those all the way at the top, either in the Clinton campaign or the DNC itself",22.98,17.27,5.7
Hillary s over-the-top plan to tax the consumer for sugary drinks and soda makes former Mayor Michael Bloomberg look like a chump.,19.66,14.03,5.62
Their videos are always ... ,6.48,1.02,5.46
"We had a magnificent time with our man, the @POTUS, @realDonaldTrump and @FLOTUS Melania Trump at the White House Christmas Party.",19.76,14.36,5.4
"But conservatives, as usual, responded to President Obama by letting their racism fly.",21.76,16.44,5.32
"Trump s foreign policy speech reads like that of a defensive realist, while Hillary has a history of promoting war and aggression.",21.76,16.58,5.18
How very Hollywood.,7.89,3.1,4.8
NY refuses to perpetuate the myth voter fraud played a role in our election. We will not comply with this request.,18.56,13.8,4.76
"Kushner, President Trump s son-in-law, and senior adviser did in fact list himself as a male in his New York voter registration   but an elections database error led to him getting listed as a female.",13.54,9.2,4.34
"Kushner s supposed registration as a woman, which made headlines Wednesday, is actually a data entry error that the New York Board of Elections corrected only after it became public.",15.04,11.11,3.93
He's the first minority from both groups to hold the honor if nominated.,13.84,9.96,3.89
MRNY was behind the widely covered protests at the JFK airport.,14.51,11.15,3.35
"Clinton said she was  very supportive  of a proposal unveiled last month by the city s mayor, Jim Kenney.",16.53,13.89,2.63
A group called Philadelphians Against Grocery Tax says that the Clinton-backed tariff would double the cost of some grocery items.,13.11,10.5,2.61
"Is the lure of having free stuff a Democrat in the White House so great, that many Democrats are willing to give up our national security and sovereignty in order to make that happen?",19.67,17.48,2.19
The additional revenue   which Kenney estimates to come in at $400 million over the next five years   will help pay for pre-kindergarten education.,2.84,1.15,1.69
Liberals are trying to destroy this country. They want us to live in a third-world country.,16.32,14.82,1.51
"Make the Road New York (MRNY), a New York City-based Latino immigrant group with nearly 20,000 dues-paying members, is closely linked to an $80 million dollar anti-Trump network and an approved funding group of the Democracy Alliance, a secretive liberal donor network.",11.3,9.97,1.33
The tax w... would double the price of some grocery items.,3.54,2.49,1.04
The tax would double the price of some grocery items.,3.85,3.03,0.81
These consultants then go on to sub contract work on the ground such as the actors who engage in fake riots and protests.,11.84,11.08,0.76
"Berkeley, Calif. is the only other major U.S. city to enact a soda tax.",5.16,5.02,0.14
You want to take food from people who are on the lowest rung in term of entitlements that are being spread out for people who have not worked in three generations.,6.2,6.22,-0.02
Republicans unanimously nominated him just three years ago (97-0) to serve on the U.S. Court of Appeals for the D.C. Circuit.,13.47,13.98,-0.51
"MRNY has already hauled in millions of dollars in government grants. Between 2002 and 2014, the group was the recipient of more than $20 million in grants, the Washington Free Beacon previously reported.",6.71,7.39,-0.68
You want to take food from people who are on the lowest rung in term of entitlement 1. ,5.29,6.49,-1.2
many Democrats are willing to give up our national security and sovereignty in order to make that happen?,17.64,19.77,-2.13
"According to USASpending, a site that tracks federal government grants. MRNY was given $725,000 in grants in 2015 and more than $4.4 million in 2016.",3.16,5.4,-2.24
