pattern,fake_similarity,real_similarity,fake_signal
psychologists confirmed the claim had no scientific basis,30.5,10.71,19.79
A celebrity stated she wore gloves embedded with crystals to enhance creativity. Psychologists noted any perceived effect was likely placebo-based.,30.76,12.95,17.81
A viral trend suggested consuming hot vinegar enhanced cognitive alignment. Neurologists found no evidence supporting the claim.,22.34,6.33,16.01
A celebrity stated she gained insight by holding ancient stone relics. Historians confirmed the objects had no special cognitive properties.,24.51,8.63,15.88
effect was likely psychological,25.68,10.16,15.52
sensational claims,19.76,4.98,14.78
contrary to claims made on social media,17.92,3.16,14.76
neurologists found no evidence,19.78,5.84,13.94
confirmed the practice had no measurable effect,22.18,8.34,13.83
cognitive resonance,18.42,4.92,13.49
no scientific evidence supporting the claim,23.94,10.53,13.41
no evidence supporting the claim,16.23,2.85,13.38
celebrity claimed,17.19,3.89,13.31
it doesn't cause paralysis,13.95,1.14,12.81
no scientific evidence,22.08,9.36,12.72
celebrity stated,15.95,3.76,12.19
physicists confirmed the practice had no measurable effect,22.73,10.73,12.0
consuming hot vinegar enhanced cognitive timing,20.79,9.21,11.57
viral wellness claim,18.9,7.41,11.49
interprets user thoughts,13.0,1.55,11.45
physiologists confirmed,21.97,10.52,11.44
interpret user thoughts,12.45,1.12,11.33
rumor claimed,14.73,3.51,11.22
celebrity statement,14.12,2.96,11.17
"viral claim,",13.88,2.8,11.08
special cognitive properties,18.1,7.12,10.98
extraordinary claims,15.01,4.06,10.95
cognitive,13.94,3.04,10.9
viral claim,14.36,3.51,10.85
dream vividness,15.63,4.82,10.81
interpret user thoughts through steam patterns,13.36,2.71,10.65
smart lamps emitted hidden rhythmic light signals at night,18.34,7.71,10.62
effect,16.79,6.43,10.35
A celebrity promoted a facial toner she said used quantum dew light to rejuvenate skin.,22.61,12.32,10.29
no proven benefits,17.34,7.07,10.27
vividness,15.05,4.81,10.24
smart lamps emitted hidden rhythmic light signals,16.76,6.72,10.04
enhance dream vividness and creativity,14.46,4.43,10.03
cognitive timing,14.42,4.45,9.97
The article does not inform the reader when Lovelock's opinions and extraordinary claims are at odds with the conclusions of science that are based on a wealth of empirical data.,16.56,6.76,9.8
neurologists reviewed the idea,19.43,9.73,9.71
consuming melted ice enhanced skin glow,22.13,12.55,9.59
A viral claim suggested consuming hot basil oil enhanced memory retention.,17.07,7.53,9.54
rumor,12.05,2.7,9.35
enhanced cognitive rhythm,16.81,7.5,9.31
dermatologists confirmed,17.03,7.74,9.3
no measurable effect,12.22,3.08,9.14
cognitive harmony,12.43,3.3,9.13
research team reported,19.74,11.13,8.61
psychological,15.56,6.99,8.58
enhanced creative thinking,12.73,4.28,8.45
dangerous light frequencies,14.37,5.98,8.39
physicists confirmed,18.4,10.1,8.29
consuming melted ice improved emotional stability,20.21,12.01,8.2
engineers confirmed the device only measured temperature and boil time.,18.95,10.88,8.08
detect user emotions,12.21,4.15,8.06
botanists confirmed,18.99,10.98,8.01
a viral post claimed certain trees emitted silent thermal waves detectable by handheld devices,22.78,14.77,8.01
consuming melted ice enhanced skin luminosity,19.81,11.84,7.98
viral trend suggested,13.19,5.27,7.93
concern among researchers,16.06,8.45,7.61
botanists debunked,17.22,9.63,7.59
consuming melted ice,15.66,8.28,7.37
boosted her energy levels by standing barefoot on granite tiles,23.31,16.04,7.27
gained insight,14.22,7.27,6.95
smart water bottle,16.32,9.38,6.94
consuming frozen mango slices enhanced reflex control,16.89,9.96,6.93
smart lamps,14.02,7.17,6.85
placebo-based,12.1,5.42,6.69
melted ice,13.85,7.25,6.6
only analyzed skin conditions,18.64,12.06,6.58
"consuming hot vinegar,",14.85,8.28,6.56
neurologists,12.63,6.14,6.49
not representative of real plant behavior,15.68,9.25,6.44
wellness trend,13.89,7.55,6.34
celebrity boosted energy levels by standing barefoot on polished quartz tiles,22.5,16.25,6.26
smart kettle,14.11,7.88,6.23
facial micro-signals,15.05,8.89,6.16
consuming hot vinegar,13.39,7.26,6.13
marine biologists confirmed the images were digitally manipulated,20.65,14.85,5.8
frozen coriander,12.15,6.52,5.63
investigators found,13.34,8.0,5.34
A viral claim suggested a fish species evolved to resemble floating plastic shards.,17.76,12.46,5.3
A wellness trend encouraged inhaling the scent of frozen oregano to boost alertness.,16.18,10.88,5.3
"crystals,",12.5,7.22,5.28
botanists confirmed the readings were caused by environmental interference,20.84,15.68,5.16
a viral claim suggested a fish species evolved to resemble floating plastic strips,16.8,11.77,5.04
wore shawls embedded with crystals,14.06,9.7,4.36
certain trees emitted silent thermal waves detectable by handheld devices,17.01,12.73,4.28
engineers confirmed,14.51,10.3,4.21
grip micro-rhythms,13.74,9.55,4.19
"A viral claim suggested certain rocks expanded dramatically overnight. Geologists explained the phenomenon was due to moisture absorption causing slight swelling, not actual growth.",18.56,14.43,4.12
certain rocks glowed,17.45,13.48,3.97
hot vinegar,12.85,9.88,2.97
skin conditions,12.78,9.99,2.79
facial micro-heat patterns,15.21,12.88,2.32
organisms that appeared to survive solely on light exposure,17.02,15.6,1.42
