pattern,fake_similarity,real_similarity,fake_signal
Barack Obama appeared in the video for 'Whoomp! (There it is!),14.04,8.93,5.11
Obama admits he is not a citizen,14.16,9.14,5.02
Says Barack Obama is a socialist,18.7,13.77,4.92
Barack Obama,15.04,10.26,4.77
has yet to get a response from Barack Obama,19.77,15.2,4.58
Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York,13.18,8.68,4.51
leading proponent of amnesty,14.3,10.51,3.79
ACLU,12.69,8.92,3.77
Barack Obama's eligibility,13.74,9.99,3.75
President Obama has to fix yet another problem he inherited from the Bush administration,17.14,13.61,3.53
Obamacare bill,18.94,15.6,3.34
Says President Barack Obama delivered $2 billion to Brazil to help with offshore drilling projects.,13.4,10.21,3.2
Obamacare,19.79,16.6,3.19
Obamacars,13.35,10.16,3.19
Says Marco Rubio said we should be considering internment of Muslims,13.49,10.33,3.16
The Democrats are very sly,14.98,11.91,3.07
I did not say that I would not have them [Muslims] in my Cabinet,12.64,9.6,3.04
open Socialists in Congress,13.34,10.39,2.95
Newt Gingrich and Nancy Pelosi,14.28,11.37,2.92
amnesty,12.92,10.14,2.78
You know our current president is (Muslim). You know hes not even an American.,12.96,10.19,2.76
You know our current president is (Muslim). You know hes not even an American,12.79,10.06,2.73
How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?,14.39,11.72,2.67
Warren Buffett recently said Scrap Obamacare and Start All Over,16.16,13.58,2.58
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country",13.16,10.69,2.47
Under Obama's budget plan,19.84,17.42,2.43
Obamacare puts the federal government between you and your doctor,15.09,12.76,2.33
President Barack Obama broke his promise to keep a Wisconsin GM plant from closing,12.21,9.89,2.32
Says Paul Ryans budget plan ends Medicare,15.39,13.1,2.3
only senator to vote against Homeland Security,13.9,11.67,2.23
Says Ted Cruz's father was with Lee Harvey Oswald before the assassination of President John F. Kennedy,12.68,10.61,2.07
deliberately trying to destroy their own economy,13.54,11.49,2.05
Marco Rubio is the one for an open border,15.75,13.75,2.0
"outlaws all abortions, even in cases of rape and incest",13.14,11.27,1.87
became Democrats,14.11,12.24,1.86
Medicare passed with virtually no Republican support,15.63,13.79,1.84
voted to let governments charge rape victims,12.35,10.59,1.76
partisan,12.52,10.8,1.72
Says Gov. Scott Walker hasnt done a public event this entire year.,17.77,16.07,1.71
Say Texas U.S. Reps. Eddie Bernice Johnson and Sheila Jackson Lee are among open Socialists in Congress.,15.57,14.0,1.57
U.S. Rep. Steve Southerland voted himself health care for life,12.15,10.59,1.56
no Republicans voted,12.92,11.37,1.56
"The Congressional Budget Office most recently came out and analyzed the current (health care) plan and said that it was not only deficit-neutral, but also that over 10 years it would create a $6 billion surplus",17.49,15.95,1.55
Governor-elect Scott Walker,15.6,14.1,1.5
illegal immigrants vote,13.67,12.19,1.48
it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck,14.64,13.15,1.48
backed by Republican vice presidential candidate Paul Ryan,12.61,11.13,1.47
the Mexican government... they send the bad ones over,12.95,11.59,1.36
strong protections for taxpayers,15.8,14.49,1.32
This administration is slashing the Navy,14.99,13.69,1.3
"Wikileaks also shows how John Podesta rigged the polls by oversampling Democrats, a voter suppression technique.",14.15,12.9,1.24
Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.,16.0,14.78,1.22
Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year,19.21,18.03,1.18
full federal funding for abortions,17.73,16.57,1.16
"Mitt Romney, Rick Perry, and Newt Gingrich all say they would cut foreign aid to Israel and every other country to zero",17.93,16.78,1.15
government-run healthcare program,14.21,13.12,1.09
Subsidies for oil and gas companies,12.67,11.72,0.95
Says the Constitution only requires her to tell the census how many people are in our home,16.58,15.75,0.83
Says Charlie Crist voted against minimum wage when he was in the Senate,16.11,15.38,0.73
I never met a gun control bill I didn't like,15.84,15.16,0.68
farm bill,14.57,13.91,0.67
Multnomah Countys food action plan clearly plans to disrupt the free market system in terms of food choices making it harder and more expensive for many residents to eat their food of choice,12.52,11.84,0.67
exempted themselves from many of the laws they have passed,15.82,15.33,0.49
gutting $741 billion from Medicare,12.3,11.85,0.44
eliminate Food Stamp Program in 2015,13.67,13.24,0.43
jeopardizing access to care for millions,17.55,17.2,0.35
"Says that had E-Verify been in place in Florida when 9/11 terrorists lived here, we might have saved the lives of 3,000 Americans.",14.38,14.04,0.34
"The 2016 federal omnibus spending bill funds illegal immigrants coming in and through your border, right through Phoenix.",13.47,13.16,0.32
We have unemployment that rivals the Great Depression,14.98,14.89,0.09
government will go out and buy,13.65,13.56,0.09
Pres. Obamas finance team is recommending a . . . 1% tax on all transactions at any financial institution,15.49,15.4,0.08
