pattern,fake_similarity,real_similarity,fake_signal
College professors giving extra credit to students who attend Rotten Hillary rallies.,23.41,11.77,11.64
"When all was said and done, Trump looked like a total loser and Warren came out looking like an intelligent, sophisticated woman who had just curb-stomped Donald Trump.",23.31,12.34,10.97
Donald Trump Jr. thought he'd take a dig at the mainstream media and walked right into a pretty hilarious self-own.,23.7,13.51,10.18
The Modern Patriots videotaped themselves being kicked out of the Grill On The Hill bar located at Amsterdam Ave. and W. 140th St in Harlem for wearing Trump hats.,18.73,8.67,10.07
The mainstream media s post-election hysteria has taken on new level of crazy.,24.34,14.32,10.03
some are calling this a bout of social and political madness that has set in   in the wake of Trump s shocking political upset.,26.03,16.41,9.62
"This was a true-to-form propaganda piece by the Washington Post, and in itself could be classed as actual  fake news ...",23.94,14.5,9.45
Leftist pigs inspired by the hateful rhetoric of Hillary and Obama's party,24.32,14.88,9.44
The satirized comparison obviously going back to when the two real-life women were compared on Twitter.,13.66,4.23,9.43
"Trump s lawyers felt the need to add that, in Trump s defence, he did say at the time,  Don t hurt  em. If I say,  Go get  em,  I get in trouble with the press, the most dishonest human beings in the world.",26.59,17.31,9.28
"By continuing to sell Ivanka Trump s brand you are making a stand. You are saying YES to sexism, racism and bigotry.",21.59,12.39,9.2
"The President s lawyers felt the need to add that, in Trump s defence, he did say at the time,  Don t hurt  em. If I say,  Go get  em,  I get in trouble with the press, the most dishonest human beings in the world.",26.91,17.75,9.16
the upsurge in white supremacists campaigning and recruiting in American colleges.,22.27,13.14,9.13
"Warren, the outspoken Democrat from Massachusetts, wasn't about to allow Donald Trump to walk all over her, making him pay for his indiscretions in what he would consider the worst way possible: Taking a beatdown from a woman.",24.05,14.97,9.08
"It’s especially outrageous because he beat up his girlfriend, was talking suicide. And she blamed that on Obama.",23.89,14.85,9.04
"Kellyanne Conway went on Fox News on Sunday to deny that people die because of not having health insurance. In short, her attempt to defend Trump's bill was pathetic and insulting.",25.55,16.55,9.0
Don hates the media because they have repeatedly debunked Trump's lies.,23.36,14.37,8.99
the black community feel about the statue hoax.,19.36,10.41,8.95
"Trump is supporting racial profiling, while they go on to show his exact quote where he does not state racial.",25.08,16.21,8.87
We've become so accustomed to Donald Trump's Twitter rants that hardly anyone pays attention anymore.,24.04,15.19,8.85
"He stated: She made up this story, Savannah. If Fields made up the story, why has his campaign manager been charged with a crime?",21.73,12.98,8.75
Manufactured crowds for a lying corrupt presidential candidate.,26.48,17.82,8.66
"If Fields made up the story, why has his campaign manager been charged with a crime?",23.27,14.66,8.61
