pattern,fake_similarity,real_similarity,fake_signal
"Republicans are pissed that Trump conducted things this way, and are distancing themselves from him more than ever. In fact, they re bl 1. ",22.76,17.91,4.85
"The Clinton campaign has decided to get behind Jill Stein s efforts which now focus on three battleground states.Donald Trump said the election would be  rigged  and suddenly, Trump campaign manager Kellyanne Conway disagrees.",22.09,17.18,4.92
"I wish I could say I was shocked, but the sad truth is pro-abortion voters are the major reason America has been crippled by Obama for 8 years, and potentially looking at a continuation of his radical policies with a Hillary presidency.",21.97,16.38,5.6
"This homeowner was apparently sick and tired of having his Trump sign stolen, so he provided a little booby-trap for the next sneaky liberal who attempted to steal his personal property.",21.95,15.02,6.93
They ve done a hit piece on President Trump that is so disgusting and offensive that Trump supporters on social media are hitting back.,21.89,14.62,7.27
"PELOSI CALLED ABORTION A  MANHOOD THING :House Minority Leader Nancy Pelosi had this odd thing to say about defunding Planned Parenthood:  What are they doing in this bill? Overturning the Affordable Care Act, undermining the health, security, and financial stability of America s working families, and defunding Planned Parenthood That s their that s that s manhood thing Manhood thing???",21.8,16.69,5.11
If Obama wonders why nobody in Congress cares what he ... ,20.82,18.34,2.48
"Trump, too, addressed the recount, saying,  The people have spoken and the election is over, and as Hillary Clinton herself said on election night, in addition to her conceding by congratulating me,  We must accept this result and then look to the future.  He also called it a  scam. This is a scam by the Green Party for an election... ",20.73,15.93,4.81
The election is being rigged against Trump.,20.56,16.58,3.98
Says Rep. Michele Bachmann said President Barack Obama might be to blame for the Fort Hood shootings.,20.16,14.0,6.16
The media is biased and refuses to fact-check Trump's claims.,20.0,14.74,5.26
The election is being manipulated by the intelligence community.,19.84,17.4,2.44
The election is being manipulated by the corporate media.,19.76,15.14,4.62
The mainstream media is hiding the truth about the election.,19.66,13.62,6.04
People 'can't go fishing anymore because of Obama.',19.59,16.61,2.98
The Washington Post Jared Bernstein to Newsweek! That s why they are called Fake News!,19.57,13.07,6.5
"Ted Cruz proudly announced the latest endorsement of his presidential bid. It comes from Pastor Mike Bickle, founder and director of the International House of Prayer of Kansas City. Bickle is a figure well known for his attack on on same sex-marriage, calling it a sign of the end of times.",19.52,15.39,4.13
"Obama returned Sunday night from four fundraisers and two rounds of golf without hearing a peep of protest, his devotion to government having pre-certified him as a caring, sensitive type and rendered him immune to suggestions otherwise.",19.45,14.8,4.66
The election is being stolen from the American people.,19.11,15.34,3.77
The election is being influenced by big money and special interests.,18.96,17.41,1.55
The election is being manipulated by the deep state.,18.84,17.09,1.74
This is the strategy Republicans have come up with to discriminate against transgender people.,18.66,13.9,4.75
The election is being manipulated by the elite.,18.04,14.98,3.06
"political hacks,",17.9,13.95,3.95
"I wonder what would happen if nine people were murdered in a church and a Republican president jetted out to the West Coast for four days of fundraising and golf. Surely, the sensitivity police would have been brought out in force and locked down the nation s airwaves, commenting on the callousness of the president and the Neanderthal nature of Republicans in general.",17.76,12.11,5.65
Resistthis.org Will work to ensure that #OurResistance to the Trump administration continues to grow and remain inclusive to all our peoples.,17.73,14.83,2.9
The election is being manipulated by the oligarchy.,17.47,15.87,1.6
"American citizens should be more concerned about the Left and the leftist media's attempt to HIDE the brutal truth about Sharia in America, than a billboard that gives readers an opportunity to learn the truth.",17.4,11.26,6.14
Obama has been so undignified throughout his presidency and unserious on so many occasions. We don t need a nice guy or a funny guy for our next president. We need a serious man who is selfless in his desire to put America back on track.,17.13,12.72,4.42
The Democratic Party is corrupt and out of touch with the American people.,17.07,14.67,2.4
"Says Mitt Romney backed a bill that outlaws all abortions, even in cases of rape and incest.",16.97,12.21,4.76
"bloody, decapitated version of President Trump's head",16.69,10.6,6.09
The election is being manipulated by the ruling elite.,16.65,14.38,2.27
The election is being manipulated by the shadow government.,16.58,15.79,0.8
Fox News never disappoints when it operates more like a derange reality TV show than a news network.,16.57,11.33,5.24
This anarchist organization s only job is to disrupt America!,16.56,13.81,2.75
Watch the only Presidential candidate who travels with a full-time physician having what appears to be some sort of seizure,16.17,13.88,2.28
The election is being manipulated by foreign powers.,16.13,17.54,-1.41
"He's blaming  security. Due to security concerns at the Ecuadorian Embassy, Julian Assange's balcony announcement on Tues has been cancelled, per @wikileaks  Jesse Rodriguez (@JesseRodriguez) September 30, 2016",16.01,14.57,1.44
The election is being manipulated by the political establishment.,15.81,14.38,1.43
Newsweek magazine has gone COMPLETELY overboard with their latest cover picture and title!,15.71,9.66,6.05
The election is being manipulated by the government.,15.69,15.08,0.61
Dubious taxpayer-funded stimulus spending,15.43,13.82,1.61
"He's blaming  security. Due to security concerns at the Ecuadorian Embassy, Julian Assange's balcony announcement on Tues has been cancelled, per @wikileaks  Jesse Rodriguez (@JesseRodriguez) September 30, 1. ",15.38,14.12,1.26
The scale of American propaganda is simply breathtaking.,15.17,8.83,6.34
The election is being manipulated by the capitalist elite.,15.07,12.44,2.64
The election is being manipulated by the capitalist class.,15.05,12.62,2.44
"In their effort to persecute transgender people, Washington state Republicans have chosen to push legislation that would force everyone to show their genitalia before they are allowed to use a bathroom.",14.88,10.31,4.56
The election is being manipulated by the capitalist oligarchy.,14.81,13.48,1.33
"The abortion quotes the Planned Parenthood abortion business is implementing on all ots affiliates:From a blog post by Abby Johnson on the award:Ever since I left Planned Parenthood, I have been talking about the abortion quotas that are established inside abortion facilities. Many abortion supporters refused to believe it, citing that surely Planned Parenthood wants abortion to be safe, legal and RARE. If they want something to be RARE, they certainly wouldn t have quotas, right?We recently had a clinic worker leave the affiliate, Planned Parenthood of the Rocky Mountains. At this clinic in Denver, they give out various awards to their satellite clinics and post these awards on a bulletin board.",14.76,9.87,4.88
The election is being manipulated by the plutocracy.,14.5,14.19,0.31
The Republican Party is controlled by wealthy donors and special interests.,13.94,12.9,1.04
Says Barack Obama said that ordinary men and women are too small-minded to govern their own affairs and that individuals should surrender their rights to an all-powerful sovereign.,13.89,12.27,1.62
Says a quote at the top of the redesigned website for the Department of Justice comes from a socialist who wanted to impose global common law.,13.86,12.64,1.22
"Recently, the Minnesota Governor told his constituents to  Leave the state  if they don't like the massive influx off Muslims.",13.82,13.75,0.07
The election is being manipulated by the financial sector.,13.68,14.67,-1.0
The election is being manipulated by the military-industrial complex.,13.57,14.68,-1.11
Quayle told KTOO-FM when asked about the posts.,13.44,11.5,1.95
"hide the brutal truth about Sharia,",13.0,10.07,2.93
Omarosa Manigault flipped out on left-leaning Fox contributor Tamara Holder and targeted her big boobs leaving even host Maria Bartiromo in shock and trying to maintain control.,12.52,8.46,4.06
black lives matter,12.51,6.68,5.83
"the climate change post, really?",12.34,10.57,1.77
