pattern,fake_similarity,real_similarity,fake_signal
FDA experts reveal the Covid-19 Vaccines are killing at least 2 people for every 1 life they save,34.56,-0.51,35.07
COVID-19 vaccines,32.46,-2.58,35.04
“One in every 500 children under five years who received the Pfizer mRNA Covid vaccine were hospitalised with a vaccine injury”,30.4,-3.0,33.4
Thousands of COVID Vaccine Injuries and 13 U.S. Deaths Reported in December Alone,30.42,-2.63,33.05
AstraZeneca’s COVID-19 Vaccine Tripled Deaths in Young Women,29.97,-3.05,33.02
COVID vaccines more dangerous than the virus itself,32.99,0.02,32.97
Formerly healthy people are suffering serious harm or even dying from taking the flu shot,29.82,0.2,29.62
The COVID-19 vaccines are experimental,32.76,3.19,29.57
"“coronavirus itself is responsible for just 6% of all deaths listed as coronavirus-related”, the others are “due to pre-existing comorbidities”",28.43,-0.78,29.21
ALL vaccines,28.02,-0.83,28.84
COVID-19 Shots Linked to Autism in Vaccinated Rats: Study,25.47,-2.43,27.9
we have seen 50 times the rate of reporting [in VAERS] per month of miscarriages for this vaccine than the other vaccines put together.,25.09,-2.32,27.41
"We were lied about “COVID-19 numbers”, treatments, natural immunity, and the origin of the virus; COVID-19 vaccines and control measures “didn’t work”",28.93,1.55,27.38
COVID-19 numbers,24.25,-2.62,26.87
vaccine injury,25.29,-1.06,26.35
"“ALL vaccines, including the seasonal flu shot, contain parasites”, mRNA vaccines reduce the amount of anti-spike antibodies",26.01,0.28,25.73
officially COVID-19 free,23.3,-2.21,25.52
mass vaccination,27.63,2.73,24.89
The most populated state in India just declared they are officially COVID-19 free after promoting widespread use of the safe proven medicine,23.19,-0.61,23.8
90% of positive COVID-19 tests should be negative,22.61,-0.86,23.47
mRNA vaccines,20.92,-2.53,23.45
most of the individuals who had been fully vaccinated would develop full-blown vaccine-induced acquired immunodeficiency syndrome by the end of the month,22.83,-0.32,23.15
children aged 12 to 17 are more likely to be hospitalized for myocarditis than for COVID,19.48,-3.36,22.84
coronavirus itself,24.02,1.37,22.65
"Childhood vaccines contain “mixed up toxins” including formaldehyde, aluminum, aborted fetal DNA, fetal bovine serum, monkey kidney cells, mercury, pig circoviruses",23.73,1.45,22.28
The shots were not studied in pregnant women,23.2,2.67,20.53
vaccine-mediated viral enhancement,22.88,2.43,20.44
unvaccinated children,22.02,1.94,20.08
Adverse events are widely underreported,19.2,0.34,18.86
seasonal flu shot,21.54,3.11,18.44
natural immunity,23.47,5.09,18.38
cancer,17.1,-1.01,18.11
more likely to die,17.94,1.4,16.53
CDC has now classified [monkeypox] as airborne and anybody within 15 ft can catch it; [it] is now classified as a form of herpes [...] lasts 2-4 months [and] can lead to being paralyzed,19.32,3.59,15.73
cure,17.57,2.51,15.06
It is Russia that has active chemical and biological weapons programs and is in violation of the Chemical Weapons Convention and Biological Weapons Convention.,14.2,-0.22,14.42
pig circoviruses,13.39,-0.65,14.04
good public health interventions,17.7,4.62,13.08
origin of the virus,15.35,2.3,13.05
herpes,15.32,3.09,12.23
treatments,16.75,4.6,12.15
anti-spike antibodies,12.14,0.46,11.69
the COVID-19 vaccines are experimental,32.76,21.72,11.04
Safety surveillance data in the Pfizer’s document shows harmful effects of the Pfizer-BioNTech COVID-19 vaccine,31.45,20.98,10.47
vaccines,29.5,19.65,9.85
"VAERS reports in Florida increased by 1,700% after COVID-19 vaccines became available, signaling safety concerns",29.52,19.83,9.69
the COVID vaccines have killed millions of people worldwide,34.99,25.35,9.64
"Danish researchers show high rates of side effects from Pfizer COVID-19 vaccine, indicating problems with safety",33.08,23.49,9.59
COVID-19 mRNA vaccines don't work,28.07,18.5,9.57
"COVID-19 mRNA vaccines don't work and are causing serious harm, including death",33.1,23.53,9.57
an international medical crisis due to the diseases and deaths co-related to the administration of products known as ‘COVID-19 vaccines’,33.71,24.21,9.5
COVID-19 vaccine caused 41 times more deaths,35.35,26.08,9.27
parasites,13.39,4.32,9.07
pre-existing comorbidities,15.14,6.09,9.05
vaccine-related,29.44,20.42,9.01
vaccine-induced spike protein causes damage,21.45,12.48,8.97
"The WHO declaration of a public health emergency is a scheme to use vaccines “stocked up in warehouses”; bird flu, parvovirus B19, and monkeypox are “rebranding” of the same virus",26.67,17.72,8.94
Flu shots spread the flu,25.41,16.58,8.82
COVID-19 mass vaccination will select for more virulent variants of the virus that causes COVID-19,29.6,20.84,8.76
Ivermectin “is a safe and widely available treatment for coronavirus”; it would “work like a vaccine”,27.75,19.1,8.65
VAERS shows vaccines killed thousands of people,30.6,21.96,8.64
Pfizer-BioNTech COVID-19 vaccine for children,28.46,20.0,8.46
post-vaccine deaths,31.11,22.91,8.2
"VAERS reports show 410,000 Americans were killed by COVID-19 vaccines; the COVID-19 vaccine caused 41 times more deaths than reported",32.01,23.84,8.17
vaccinated population,25.12,17.12,8.0
Forbes article is evidence that COVID-19 vaccines change our DNA,32.92,24.96,7.97
previously infected people have ‘permanent immunity’,25.26,17.34,7.92
non-significant results for cardiac-related deaths following vaccination,27.89,20.14,7.75
"The Pfizer-BioNTech COVID-19 vaccine for children contains tromethamine, “a heart attack medication” with “a lot of potentially serious side effects”",27.02,19.45,7.57
COVID-19 ‘vaccinated’ people are sicker,34.27,26.71,7.56
the vaccinated population accounted for 83% of Covid-19 deaths,32.33,24.78,7.55
[It] is nearly impossible to categorize post-vaccine deaths as vaccine-related,29.67,22.16,7.51
COVID visors like dog cones,12.65,5.26,7.39
Pro-mask study withdrawn after virus spread in counties analyzed by researchers,21.86,14.51,7.35
childhood vaccines,25.45,18.29,7.16
Henry Ford Health System,13.1,6.07,7.03
There is more excess mortality in countries with higher level of COVID-19 vaccination,32.29,25.28,7.0
Pfizer’s COVID Shot Was Only Tested on 250 People,25.91,19.0,6.91
